sic_section,mean_gender_pay_gap,firm_count
A,9.291747368421053,988
C,9.049329589303222,1428
D,9.13090909090909,154
F,19.497963525835868,329
G,12.214691366906475,973
H,8.854466501240694,403
I,5.288937722419928,562
J,14.706410256410255,624
K,22.5421875,512
L,12.56910447761194,134
M,15.390164141414141,792
N,9.621681205444444,1206
O,5.369705882352941,34
P,15.42939042957043,1001
Q,6.154103664921466,764
R,18.710965250965252,259
S,10.572995215311003,209
U,12.50076923076923,13
